Word Number	Frequency	Arabic	English					
169	67343	لهذا	This  					
170	66864	إلهي	God  					
171	66297	فعل	Doing  					
172	66181	ألا	Not  					
173	65282	هكذا	"Thus	  "					
174	64546	الان	Now 					
175	63762	تم	The  					
176	63754	الحقيقة	Truth  					
177	63709	أمي	Mom  					
178	ـ62946	لـ	  for					
179	62055	حول	About  					
180	61238	بما	Including  					
181	61203	لذلك	So  					
182	59681	حقا	Really  					
183	59550	لديه	Has  					
184	58616	الجميع	All  					
185	58369	يمكننا	We can  					
186	57984	لنا	Us  					
187	57948	حال	If  					
188	57860	لأن	Because 					
189	57617	بالتأكيد	Definitely  					
190	57232	خلال	During  					
191	56374	بشكل	In  					
192	56194	فحسب	Only  					
193	55929	عليها	By  					
194	ـ55764	بـ	B  					
195	55558	العالم	World  					
196	55229	عنه	About  					
197	54984	الذهاب	Go  					
198	54886	فعلت	I did  					
199	54857	هم	They are  					
200	54765	قال	He said  					
201	54427	أكون	I  					
202	54372	المنزل	Home  					
203	54090	انك	You 					
204	53557	أفعل	I do  					
205	53540	فيه	In which 					
206	53438	…	…					
207	53234	أعني	I mean  					
208	52996	للغاية	Very  					
209	52716	بين	Between  					
210	52283	منك	You  					
211	52092	جيدة	Good 					
212	51205	بشأن	About  					
213	51132	اللعنة	Fuck  					
214	50732	أننا	We are  					
215	50699	ها	Ha 					
216	50626	عمل	The work of  					
217	50490	متى	When 					
218	50374	يعني	It means 					
219	50141	فكرة	The idea of ​​					
220	49879	الأمور	Things  					
221	49237	مني	Me  					
222	49227	أظن	I think  					
223	48937	أني	I  					
224	48751	كنا	We were 					
225	48683	مجرد	Just 					
226	48590	المال	Money  					
227	48403	أقول	I say  					
228	48347	ستكون	Will be  					
229	48309	…	…					
230	48263	تقول	Says  					
231	48156	أم	Or  					
232	48032	الشيء	  thing					
233	47630	هؤلاء	These  					
234	47394	الطريق	Road  					
235	47322	تستطيع	You  					
236	47233	وهذا	This is  					
237	47216	بالنسبة	For  					
238	47215	اي	Any 					
239	47212	أمر	Order  					
240	47099	معه	With  					
241	46787	منه	Than  					
242	46668	اعتقد	I think  					
243	46634	السيد	Mr  					
244	46591	توقف	Stop  					
245	45987	نفس	The same  					
246	45657	لما	When  					
247	45549	انظر	See 					
248	45484	تكن	Not  					
249	45081	بدون	Without  					
250	44937	الحياة	Life  					
251	44792	بأس	Fine  					
252	44413	بسبب	Because of  					
253	44384	الجحيم	Hell  					
254	44324	حصلت	I got  					
255	44281	أشعر	I feel 					
256	44255	أرى	I see  					
257	43854	لكم	You  					
258	43849	عند	When  					
259	43666	الذى	Which  					
260	43503	تبدو	Look  					
261	43372	الذين	Who are  					
262	43360	تحت	Under  					
263	43350	الأشياء	Things  thousand					
264	43010	ليلة	Night 					
265	42707	تعتقد	Believes  					
266	42681	لكي	In order to  					
267	42551	حيث	Where 					
268	42536	مشكلة	  problem					
269	ـ42450	الـ	The 					
270	42447	نفسك	Yourself  					
271	42442	تعال	Come  					
272	42202	الأن	Now  					
273	42156	شيئا	Something 					
274	41989	أذهب	I go  					
275	41856	بحاجة	Need  					
276	41711	يريد	Wants  					
277	41710	آسفة	Sorry 					
278	41487	وأنت	And you are  					
279	41099	بالفعل	Already  					
280	40928	فضلك	Please  					
281	40768	عزيزتي	Dear  					
282	40706	الوحيد	Only  					
283	40278	قتل	Killed 					
284	40224	بحق	Against  					
285	40199	طوال	Throughout the  					
286	40006	بهذه	In this 					
287	39619	الشخص	Person  					
288	39415	الشرطة	Police  					
289	39337	رأيت	I saw  					
290	39272	بنا	Us 					
291	39202	مالذي	What you  					
292	39162	اريد	I want  					
293	39161	وهو	It is  					
294	39096	أحب	I love  					
295	38963	أرجوك	"Please	  "					
296	38901	او	Or 					
297	38877	أيضا	Also  					
298	38735	بل	But  					
299	38378	إنهم	They are  					
300	38297	النار	Fire  					
301	38295	أكن	I  					
302	38084	بأنه	As 					
303	38025	أردت	I wanted 					
304	37982	اجل	For  					
305	37794	كبير	Large  					
306	37701	سنوات	Years  					
307	37649	نذهب	We go  					
308	37602	سمعت	I heard  					
309	37493	الرجال	Men  					
310	37406	فيها	Where  					
311	37397	يعرف	He knows  					
312	37327	لابد	Must be  					
313	37181	فتاة	Girl 					
314	36918	الباب	Section  					
315	36863	السيارة	Car  					
316	36838	تريدين	Want  					
317	36592	إلي	To  					
318	36591	اعرف	Know  					
319	36536	حياتي	My life  					
320	36393	انتظر	Wait  ​​					
321	36210	جميع	All  					
322	36201	خارج	Outside 					
323	35870	تذهب	Go  					
324	35805	ثلاثة	Three  					
325	35448	لأنه	Because  					
326	35414	فعله	Do  					
327	35396	استطيع	I  					
328	35348	والآن	Now  					
329	35235	السبب	The reason  					
330	35171	سبب	Cause  					
331	35145	يقول	Says  					
332	35142	دون	Don  					
333	35140	كانوا	They were 					
334	34963	اذهب	Go  					
335	34594	كبيرة	Large  					
336	34593	دولار	  dollars					
337	34301	اين	Wayne  					
338	34213	أنهم	They are  					
339	34115	الواقع	"Indeed	  "					
340	34109	قمت	I  					
341	34033	منها	Including  					
342	34009	هنالك	There are 					
343	33787	بأنك	You  					
344	33722	الأفضل	Best  					
345	33719	جميلة	Beautiful 					
346	33261	دائما	Always  					
347	33228	مما	Than  					
348	33184	ثانية	Second  					
349	33182	رائعة	Fantastic  					
350	33174	نوع	 Type					
351	33055	دعنا	Let  					
352	33044	تعرفين	You know  					
353	32997	أحتاج	I need  					
354	32938	الامر	It's  					
355	32932	جميل	Beautiful  					
356	32889	جديد	New  					
357	32876	أنظر	See  					
358	32814	للتو	Just  					
359	32774	سعيد	Said  					
360	32768	الحصول	Get 					
361	32581	ومن	It is 					
362	32511	بكل	All  					
363	32105	دقيقة	Minutes 					
364	32003	بالضبط	Exactly  					
365	31748	تعلمين	You know  					
366	31748	غرفة	Room  					
367	31686	المدينة	City  					
368	31605	الأرض	Earth  					
369	31520	لحظة	Moment  					
370	31496	اوه	Oh  					
371	31451	بسرعة	Quickly 					
372	31442	شيئ	Something 					
373	31423	طريقة	Way 					
374	31346	إليه	To  					
375	31338	الطريقة	Way  					
376	31219	أنتم	You are  					
377	31178	اعلم	I know  					
378	31161	انهم	They're  					
379	31151	الفتاة	Girl  					
380	31003	عيد	 Holiday					
381	30919	جون	John  					
382	30815	عظيم	Great  					
383	30786	التحدث	Talk 					
384	30684	جاك	Jack  					
385	30341	لأنني	I  					
386	30198	تعمل	Works  					
387	30082	يعمل	Works  					
388	30026	نفسي	Myself 					
389	29950	ايها	Dear 					
390	29949	الخاص	Special  					
391	29944	ألم	Pain  					
392	29927	دعني	Let me  					
393	29890	الله	God 					
394	29837	عام	Year  					
395	29776	لديها	Has  					
396	29775	لكنه	But  					
397	29448	قام	The  					
398	29364	ساعة	H  					
399	29285	تتحدث	Talking  					
400	29138	الخير	Good  					
401	29121	لهم	Them  					
402	29117	ولم	Was  					
403	29080	إليك	Here are  					
404	29080	سأكون	I'll be  					
405	28974	رفاق	Guys  					
406	28961	بينما	While  					
407	28953	ترى	See  					
408	28847	لكنني	But  					
409	28758	لدى	The  					
410	28675	لى	Li  					
411	28650	شىء	Something 					
412	28609	احد	One of  					
413	28604	المرة	Time  					
414	28600	متأكد	Sure 					
415	28201	منهم	Of whom 					
416	28172	هى	Is  					
417	28170	فقد	It has 					
418	28161	التى	Which  					
419	28113	يفعل	Do  					
420	28071	سيارة	Car 					
421	28024	أحاول	Try to  					
422	27958	مات	Matt  					
423	27818	القيام	To  					
424	27792	طريق	Through  					
425	27792	سعيدة	Happy  					
426	27767	عنك	You  					
427	27643	الموت	Death  					
428	27581	رقم	No  					
429	27511	معها	With 					
430	27399	أقصد	"I mean	  "					
431	27305	لكني	But  					
432	27269	أتمنى	I wish  					
433	27230	المزيد	More  					
434	27030	ذهبت	I went 					
435	27002	صغيرة	Small 					
436	26990	أول	The first  					
437	26940	صديقي	My friend 					
438	26852	الصباح	Morning 					
439	26844	الأولى	First 					
440	26749	وجدت	Found  					
441	26741	الأقل	At least  					
442	26710	فرصة	  chance					
443	26708	علاقة	Relationship 					
444	26695	أى	Ie 					
445	26675	غريب	Strange 					
446	26588	نستطيع	We can  					
447	26433	يستطيع	Can 					
448	26302	المدرسة	 school					
449	ــ26185	…	…					
450	26153	الرئيس	President 					
451	26099	يكفي	Enough 					
452	26059	سنة	Year  					
453	25911	عشر	Ten  					
454	25896	تقوم	The  					
455	25885	يتم	Are 					
456	25870	أتعلم	I learn 					
457	25868	إلا	"However	 "					
458	25842	الأطفال	Children  					
459	25777	يرام	OK 					
460	25766	أفهم	I understand  					
461	25764	وقد	The 					
462	25734	انني	I 					
463	25596	سأذهب	I will go  					
464	25590	تأتي	Come 					
465	25541	لأنك	Because you 					
466	25504	حالة	Case 					
467	25478	صباح	  morning					
468	25360	يجري	Being  					
469	25317	أفكر	I think about  					
470	25296	نفسه	The same  					
471	25098	الي	To  					
472	25092	أقوم	I  					
473	25083	نفعل	Do 					
474	25070	حالك	Are you 					
475	25047	دقائق	Minutes 					
476	24870	الحب	Love 					
477	24857	يعلم	Knows 					
478	24728	حين	While 					
479	24614	رجال	Men  					
480	24602	نهاية	End 					
481	24545	جديدة	New 					
482	24443	لديهم	They have  					
483	24414	أخبرني	Tell me  					
484	24356	الأول	The first  					
485	24288	عزيزي	Dear  					
486	24287	لنذهب	Let's go  					
487	24264	الجنس	Sex 					
488	24223	اليس	Wallis  					
489	24215	سيدة	Lady  					
490	24105	الخاصة	Private 					
491	24096	عني	"Me 	"					
492	23973	بدأت	Began  					
493	23866	قالت	Said  					
494	23810	نعرف	We know 					
495	23611	كي	Ki 					
496	23606	معنا	With us  					
497	23606	اسمع	Hear  					
498	23512	حصل	Got  					
499	23491	البيت	House 					
500	23390	وماذا	And what 					
501	23278	الصغير	Little 					
502	23151	الطفل	Child  					
503	23134	عنها	About  					
504	23039	الساعة	The time 					
505	22928	تفعله	Do  					
506	22820	رؤية	Vision 					
507	22775	حياة	Life of  					
508	22774	قليلا	Little  					
509	22753	تحتاج	You need  					
510	22750	تعني	Means 					
511	22717	أكبر	The largest  					
512	22679	تكوني	Tkona  					
513	22662	أريدك	I want  					
514	22575	رأيك	Do you think 					
515	22521	لطيف	Nice 					
516	22390	الليل	Night  					
517	22388	يقوم	The  					
518	22214	مهما	Whatever 					
519	22206	أود	I would like 					
520	22165	سام	"Sam 	"					
521	22126	اكثر	More than  					
522	22095	أية	Any  					
523	22073	إنني	I  					
524	22062	البعض	Some 					
525	21998	بأنني	I  					
526	21846	الهاتف	Phone 					
527	21838	تماما	Fully  					
528	21773	فهمت	I understand 					
529	21710	السيدة	Ms 					
530	21707	طويلة	Long 					
531	21683	أحدهم	One of them 					
532	21666	السجن	Jail  					
533	21640	سيدتي	Madam 					
534	21630	أقل	Less 					
535	21612	والدك	Father 					
536	21572	ظننت	I thought 					
537	21494	وليس	Not 					
538	21336	أتحدث	I'm talking 					
539	21291	عبر	Through 					
540	21286	أيام	Days  					
541	21248	والدي	My father 					
542	21153	ترجمة	Translation  					
543	21122	أخي	Brother  					
544	21067	نحتاج	We need  					
545	21040	أبدا	Never 					
546	21020	فوق	Above 					
547	21001	الجديد	The new 					
548	20870	العودة	Back 					
549	20825	الماضي	Last 					
550	20794	ل	to					
551	20762	ينبغي	Should be  					
552	20716	ذات	With  					
553	20688	حان	It's  					
554	20675	العام	General  					
555	20644	نكون	Be  					
556	20627	وانا	I  					
557	20623	أيتها	O 					
558	20617	حياتك	Your Life  					
559	20604	أحبك	I love you 					
560	20576	طفل	Children  					
561	20574	مايكل	Michael  					
562	20571	الطعام	Food  					
563	20511	أصبح	It became 					
564	20502	ط	I 					
565	20468	خطأ	Error  					
566	20400	الماء	Water 					
567	20390	وما	And  					
568	20385	نصف	Half of  					
569	20366	عليهم	Them  					
570	20340	سيئة	Bad 					
571	20299	المفترض	Supposed 					
572	20276	معرفة	Know  					
573	20191	وهي	They 					
574	20188	صديق	Friend 					
575	20160	نتحدث	Talking 					
576	20153	داخل	Inside 					
577	20131	منزل	HOME 					
578	20115	الصغيرة	Small 					
579	20074	سيدى	Sidi 					
580	20061	للمنزل	Home 					
581	20057	البقاء	Stay 					
582	20032	أدري	I wonder 					
583	20001	ايضا	Also 					
584	19938	نريد	We want 					
585	19930	تشعر	Feel  					
586	19872	فريق	Team  					
587	19849	دكتور	Doctor  					
588	19838	أخبرك	Tell 					
589	19823	صغير	Small  					
590	19798	تفعلين	Doin 					
591	19796	وضع	Put  					
592	19792	لكنك	But you  					
593	19771	هلا	Hala 					
594	19749	بخصوص	About  					
595	19722	طويل	Long 					
596	19651	جزء	 part					
597	19648	أشياء	Things  					
598	19601	أعمل	I work  					
599	19529	أخذ	Taking  					
600	19486	تحاول	Trying  					
601	19472	كلمة	Word 					
602	19440	منا	 us					
603	19406	حق	Right 					
604	19402	الا	But 					
605	19379	الماضية	The last 					
606	19374	جو	Joe  					
607	19351	اخرى	Other 					
608	19311	يأتي	Comes  					
609	19276	سأفعل	I'll do  					
610	19254	اللعين	Dreaded  					
611	19216	الآخر	The other 					
612	19170	يمكنه	Can 					
613	19162	تظن	Think  					
614	19131	عرفت	I knew 					
615	19128	بأي	Any 					
616	19112	خذ	Take 					
617	19086	النوم	Sleeping 					
618	18949	تقلق	Worry about  					
619	18941	ثلاث	Three 					
620	18901	لمدة	For 					
621	18873	الأسبوع	Week  					
622	18812	نظرة	Look 					
623	18715	المرأة	Women's  					
624	18710	وجود	The presence of 					
625	18690	بد	Must 					
626	18657	اذن	So 					
627	18647	الحال	Case  					
628	18600	المشكلة	The problem 					
629	18586	الخروج	Exit 					
630	18572	ذهب	Gold  					
631	18541	الوحيدة	The only 					
632	18515	افعل	Do  					
633	18480	الحرب	 war					
634	18461	كله	All  					
635	18443	كثيرا	Lot 					
636	18426	ونحن	We are  					
637	18393	أنا	I					
638	18391	وكان	The 					
639	18347	لأجل	For 					
640	18131	لكنها	But 					
641	18076	بلا	Without 					
642	18057	فأنا	I 					
643	18029	حاولت	I tried  					
644	17983	وشك	About  					
645	17967	عائلة	 family					
646	17939	الفتيات	Girls  					
647	17888	الممكن	Possible 					
648	17832	انظري	Look 					
649	17781	أخبرتك	I told you  					
650	17761	افضل	Best 					
651	17716	اخر	The last 					
652	17712	الخارج	Abroad 					
653	17693	ذا	The  					
654	17669	جيدا	Well 					
655	17669	عدم	Non-					
656	17661	الغرفة	Room  					
657	17653	إنك	"You 	"					
658	17639	العديد	Many  					
659	17608	سيء	Bad 					
660	17606	بيت	House 					
661	17577	الموضوع	Thread  					
662	17549	آه	Ah 					
663	17541	المساعدة	 help					
664	17508	اننا	We 					
665	17461	يذهب	Go 					
666	17439	العشاء	Dinner  					
667	17429	خمسة	Five 					
668	17400	أصبحت	It became 					
669	17394	مهلا	Hey 					
670	17363	الفتى	Boy 					
671	17324	الطبيب	Doctor  					
672	17291	بهم	Their 					
673	17280	النساء	Women 					
674	17244	أتعرف	You know 					
675	17213	لأني	For I  					
676	17199	جورج	George 					
677	17199	تعالي	Come 					
678	17192	رئيس	Prime 					
679	17186	رسالة	Message 					
680	17128	مايك	Mike 					
681	17095	وحسب	According to the  					
682	17060	يهم	Matter 					
683	17045	بالأمر	Order 					
684	16990	ساعات	Hours 					
685	16978	نقوم	We are  					
686	16927	أتذكر	I remember 					
687	16901	اني	I 					
688	16900	نيويورك	New York 					
689	16894	حينما	When  					
690	16832	الأشخاص	Persons 					
691	16795	فتى	Boy 					
692	16769	بالخارج	Abroad  					
693	16764	حقيقي	Real 					
694	16747	تحب	Like 					
695	16716	أنتي	Ante  					
696	16702	مباشرة	Directly  					
697	16691	أهذا	Is that 					
698	16650	القادمة	Next 					
699	16645	فترة	Period 					
700	16640	اسم	 Name					
701	16598	ضد	Against 					
702	16587	مجنون	Crazy 					
703	16580	أصدق	Truer 					
704	16568	متأكدة	Sure 					
705	16516	توجد	There are 					
706	16447	تحصل	Get  					
707	16433	فرانك	Frank 					
708	16419	دعونا	Let 					
709	16403	أخر	Last 					
710	16377	وسوف	Will 					
711	16340	قصة	Story 					
712	16332	بطريقة	 way					
713	16332	أعطني	Give me 					
714	16322	لهذه	These 					
715	16300	يحصل	Gets 					
716	16198	اللقاء	The meeting 					
717	16197	زوجتي	My wife 					
718	16141	مثلك	Like you 					
719	16136	وفي	In 					
720	16120	أراك	Arak 					
721	16101	النهاية	Finally 					
722	16039	ذاهب	Going 					
723	15972	لعبة	Game 					
724	15972	اى	Any 					
725	15937	جي	LG 					
726	15866	حفلة	Concert 					
727	15839	بواسطة	By 					
728	15810	امرأة	Woman 					
729	15802	حقيقة	The fact 					
730	15796	مكتب	 Office					
731	15792	الإطلاق	All  					
732	15788	تشارلي	Charlie 					
733	15774	بيتر	Peter 					
734	15741	بدأ	It began 					
735	15703	مساعدتك	Help 					
736	15682	فيما	With  					
737	15624	حاول	Try 					
738	15595	وبعد	After 					
739	15572	جميعا	All 					
740	15568	بأني	I 					
741	15503	الحديث	Modern 					
742	15503	مجموعة	 Group					
743	15501	طلب	Order 					
744	15413	أمام	In front of 					
745	15393	الثانية	Second 					
746	15343	توم	Tom  					
747	15343	صورة	Image  					
748	15335	بأنها	As 					
749	15310	اسف	Sorry 					
750	15252	مدى	Over 					
751	15215	يحاول	Tries 					
752	15196	الجيد	Good 					
753	15157	عندي	I have 					
754	15152	الهي	God 					
755	15148	أصدقاء	Friends of  					
756	15130	ميت	Mitt 					
757	15124	مثير	Sexy  					
758	15109	كلها	All 					
759	15109	تبقى	Stay 					
760	15084	تحدث	 occur					
761	15068	الجديدة	New 					
762	15023	التفكير	Thinking 					
763	15010	أخرج	Remove the 					
764	14987	إنتظر	Wait 					
765	14968	لكل	Per 					
766	14966	ولن	 will not					
767	14964	الأخيرة	Last 					
768	14960	بيننا	Between us 					
769	14935	عدد	Number 					
770	14922	فهو	It 					
771	14917	تفهم	Understand  					
772	14913	كهذا	Such 					
773	14906	أتريد	Do you want  					
774	14899	أحضر	Bring  					
775	14876	بشيء	Something 					
776	14852	سوى	Only 					
777	14851	موعد	Date 					
778	14845	أشهر	Months 					
779	14827	مدينة	City 					
780	14825	ممكن	Possible 					
781	14821	بعضنا	Some of us 					
782	14752	لسنا	We are not  					
783	14720	الواضح	Obviously 					
784	14696	الكبير	Big 					
785	14696	انتهى	It ended 					
786	14693	النوع	Type  					
787	14684	أنت	you 					
788	14638	الملك	King  					
789	14626	إليها	To 					
790	14545	الوضع	 situation					
791	14524	العائلة	Family 					
792	14485	ذو	A 					
793	14478	أسمع	I hear 					
794	14468	قادم	Coming  					
795	14467	شركة	 Company					
796	14464	هذة	This 					
797	14460	بنفسك	Yourself 					
798	14414	تأخذ	Take 					
799	14409	تخبرني	Tell me 					
800	14408	الزواج	Marriage  					
801	14372	أتيت	Come 					
802	14369	نحو	About 					
803	14327	ولكني	But I  					
804	14316	إذهب	Go 					
805	14309	مليون	Million 					
806	14294	صاح	Shouted 					
807	14285	نسيت	Forgot 					
808	14280	القضية	Case 					
809	14263	عملية	 process					
810	14243	حبيبتي	Baby 					
811	14224	د	D 					
812	14209	مستحيل	Impossible 					
813	14193	فعلته	I did 					
814	14187	الحق	Right 					
815	14180	الرب	Lord 					
816	14173	ذاك	That 					
817	14169	الأخرى	Other  					
818	14165	عدة	Several 					
819	14160	آمل	I hope 					
820	14150	وكل	Each 					
821	14141	دي	De 					
822	14125	علم	Aware of  					
823	14106	تذكر	Remember 					
824	14095	تعود	Dating 					
825	14084	خمس	Five  					
826	14034	أمك	Your mother  					
827	14034	اعتقدت	I thought  					
828	14032	سيحدث	 will happen					
829	14031	قول	Saying 					
830	14012	يحتاج	 needs					
831	14007	ألف	A 					
832	13941	اكون	It will be 					
833	13938	أثناء	During 					
834	13930	ولكنه	But 					
835	13910	طلبت	I asked 					
836	13889	قيد	Under 					
837	13821	خلف	Behind 					
838	13813	وصلت	It reached 					
839	13782	دعيني	Let me 					
840	13761	الحظ	Fortune  					
841	13741	تعتقدين	Think 					
842	13719	بعدها	Then 					
843	13716	تفكر	Think 					
844	13706	صعب	Saab 					
845	13705	قل	Say 					
846	13658	نعلم	We know 					
847	13640	ابن	Son 					
848	13638	ال	the 					
849	13631	تصبح	Become 					
850	13631	عرض	View 					
851	13624	زلت	I'm still  					
852	13618	الصعب	Hard 					
853	13576	مهم	Important  					
854	13569	انتظري	Wait 					
855	13554	تفضل	Prefer 					
856	13552	أربعة	Four 					
857	13493	منكم	You  					
858	13487	أتعلمين	Do you know 					
859	13467	مساعدة	Help 					
860	13430	اسمه	Named 					
861	13411	آنسة	Miss 					
862	13409	اتصل	Contact 					
863	13407	الحقيقي	Real 					
864	13398	وعندما	When 					
865	13374	حسن	Hassan 					
866	13372	النظر	Consideration 					
867	13369	القليل	Little 					
868	13362	فقدت	Lost 					
869	13360	أسرع	Faster 					
870	13360	سأقوم	I'm going to 					
871	13355	للعمل	Work 					
872	13344	البداية	Initially 					
873	13341	بتلك	Those 					
874	13325	يريدون	Want  					
875	13258	معهم	With them 					
876	13227	يارجل	"Man	 "					
877	13221	المناسب	Fitting 					
878	13216	كن	Be  					
879	13208	يتحدث	Speaking 					
880	13199	لأي	Anyone 					
881	13166	عشرة	Ten 					
882	13125	يمكننى	I can 					
883	13122	جئت	I came  					
884	13116	مشاكل	 Problems					
885	13088	الشمس	Sun 					
886	13084	يعود	Back 					
887	13049	أبحث	Looking 					
888	13033	ظ	J 					
889	13004	السؤال	Question 					
890	12999	أحصل	Get 					
891	12998	ببعض	Some 					
892	12987	بنفسي	Myself 					
893	12969	اه	Uh 					
894	12959	يفترض	Presumably 					
895	12958	بعيدا	Away 					
896	12939	تقصد	You mean 					
897	12914	بكثير	Much 					
898	12899	ستفعل	Do 					
899	12898	وانت	And you 					
900	12894	جاء	Came 					
901	12878	فكرت	I thought about  					
902	12877	تبدين	You look 					
903	12866	سأعود	I'll be back 					
904	12860	الدخول	Login 					
905	12855	الدم	 blood					
906	12837	أطفال	Children 					
907	12828	شرطة	 Police					
908	12817	الثاني	Second 					
909	12801	بول	Paul 					
910	12737	المعلومات	Information 					
911	12735	يعد	The  					
912	12733	الجانب	 side					
913	12725	تحمل	Carry 					
914	12715	أعود	I go back 					
915	12703	جريمة	Crime 					
916	12701	أمس	Yesterday 					
917	12684	الآخرين	Others 					
918	12683	محق	Right 					
919	12665	سؤال	Question 					
920	12657	بكم	Welcome 					
921	12640	التالي	Next 					
922	12639	كرة	Football 					
923	12634	اقول	I say 					
924	12592	ترك	Leave 					
925	12584	الكلام	Speech 					
926	12580	الأيام	 days					
927	12574	الجزء	Part 					
928	12566	الداخل	Inside 					
929	12529	جهاز	 device					
930	12512	قتلت	Killed 					
931	12506	أننى	I am 					
932	12499	انتي	Ante 					
933	12496	رجاء	Please 					
934	12483	البحث	Search 					
935	12464	بضعة	A few 					
936	ـ12461	هـذا	This 					
937	12461	الحلقة	Episode 					
938	12434	لويس	Louis 					
939	12419	عما	What 					
940	12414	واضح	Clear 					
941	12412	جين	Jane 					
